subperiodlarge,subperiodsmall,TESTPERIOD,OBS,date,port,ret_Port_Mean,ret_Port_Sd,mkt_Port_Mean,beta_Port_Mean,beta_sq_Port_Mean,sdres_Port_Mean
1935 to 1945,1935 to 1940,1,1,31/01/1935,1,-0.058624171,0.134285059,-0.031322746,0.737950015,0.630354477,0.16979421
1935 to 1945,1935 to 1940,1,2,31/01/1935,2,-0.013312687,0.104827684,-0.031322746,0.715856017,0.724825043,0.128576067
1935 to 1945,1935 to 1940,1,3,31/01/1935,3,-0.045579131,0.092772135,-0.031322746,0.874625733,0.89487497,0.133711171
1935 to 1945,1935 to 1940,1,4,31/01/1935,4,-0.061676783,0.085793271,-0.031322746,0.964786422,1.105663978,0.154632438
1935 to 1945,1935 to 1940,1,5,31/01/1935,5,-0.035213063,0.164622578,-0.031322746,0.8136505,0.770239755,0.160069704
1935 to 1945,1935 to 1940,1,6,31/01/1935,6,-0.066567018,0.085352486,-0.031322746,0.857487905,0.873558519,0.148908613
1935 to 1945,1935 to 1940,1,7,31/01/1935,7,-0.019648587,0.141444883,-0.031322746,0.991583008,1.151253928,0.147408456
1935 to 1945,1935 to 1940,1,8,31/01/1935,8,-0.034772311,0.117741353,-0.031322746,0.925838532,0.989020704,0.177673104
1935 to 1945,1935 to 1940,1,9,31/01/1935,9,-0.017677865,0.078354842,-0.031322746,1.043676748,1.224339031,0.163227283
1935 to 1945,1935 to 1940,1,10,31/01/1935,10,-0.071736704,0.093514281,-0.031322746,1.109354949,1.287279991,0.191214744
1935 to 1945,1935 to 1940,1,11,31/01/1935,11,-0.044716195,0.080131597,-0.031322746,1.097533541,1.324910737,0.18440439
1935 to 1945,1935 to 1940,1,12,31/01/1935,12,-0.002093137,0.100166175,-0.031322746,1.009761621,1.228900571,0.157704065
1935 to 1945,1935 to 1940,1,13,31/01/1935,13,-0.039058688,0.103424946,-0.031322746,0.974666722,1.077926147,0.184263372
1935 to 1945,1935 to 1940,1,14,31/01/1935,14,-0.04786459,0.116358829,-0.031322746,1.007332469,1.144119398,0.171410218
1935 to 1945,1935 to 1940,1,15,31/01/1935,15,-0.069908667,0.123239432,-0.031322746,1.068122829,1.371324038,0.177855435
1935 to 1945,1935 to 1940,1,16,31/01/1935,16,-0.045078484,0.111440708,-0.031322746,1.214645827,1.578484821,0.223276408
1935 to 1945,1935 to 1940,1,17,31/01/1935,17,-0.004907498,0.139284848,-0.031322746,1.135099668,1.455291845,0.184414471
1935 to 1945,1935 to 1940,1,18,31/01/1935,18,-0.038772329,0.125538473,-0.031322746,1.146461163,1.381405839,0.177417069
1935 to 1945,1935 to 1940,1,19,31/01/1935,19,-0.092017413,0.111988921,-0.031322746,1.025500506,1.12844951,0.176109923
1935 to 1945,1935 to 1940,1,20,31/01/1935,20,-0.046272727,0.109649447,-0.031322746,1.343840201,1.915783426,0.223397226
1935 to 1945,1935 to 1940,1,21,28/02/1935,1,-0.068107261,0.117517237,-0.063828553,0.737950015,0.630354477,0.16979421
1935 to 1945,1935 to 1940,1,22,28/02/1935,2,-0.043322442,0.106854072,-0.063828553,0.715856017,0.724825043,0.128576067
1935 to 1945,1935 to 1940,1,23,28/02/1935,3,-0.032841246,0.099099319,-0.063828553,0.874625733,0.89487497,0.133711171
1935 to 1945,1935 to 1940,1,24,28/02/1935,4,-0.072364228,0.097105827,-0.063828553,0.964786422,1.105663978,0.154632438
1935 to 1945,1935 to 1940,1,25,28/02/1935,5,-0.039000743,0.157836245,-0.063828553,0.8136505,0.770239755,0.160069704
1935 to 1945,1935 to 1940,1,26,28/02/1935,6,-0.070713321,0.121526008,-0.063828553,0.857487905,0.873558519,0.148908613
1935 to 1945,1935 to 1940,1,27,28/02/1935,7,-0.042338133,0.119957588,-0.063828553,0.991583008,1.151253928,0.147408456
1935 to 1945,1935 to 1940,1,28,28/02/1935,8,-0.057663096,0.105524489,-0.063828553,0.925838532,0.989020704,0.177673104
1935 to 1945,1935 to 1940,1,29,28/02/1935,9,-0.053347062,0.129593338,-0.063828553,1.024521193,1.192598135,0.165364741
1935 to 1945,1935 to 1940,1,30,28/02/1935,10,-0.074564064,0.117885781,-0.063828553,1.104412565,1.280015979,0.183315027
1935 to 1945,1935 to 1940,1,31,28/02/1935,11,-0.066013765,0.159598147,-0.063828553,1.103805376,1.345569139,0.185065012
1935 to 1945,1935 to 1940,1,32,28/02/1935,12,-0.059053206,0.134713224,-0.063828553,1.009761621,1.228900571,0.157704065
1935 to 1945,1935 to 1940,1,33,28/02/1935,13,-0.084486685,0.210468297,-0.063828553,0.974666722,1.077926147,0.184263372
1935 to 1945,1935 to 1940,1,34,28/02/1935,14,-0.110479712,0.123076726,-0.063828553,1.007332469,1.144119398,0.171410218
1935 to 1945,1935 to 1940,1,35,28/02/1935,15,-0.091288686,0.12446788,-0.063828553,1.068122829,1.371324038,0.177855435
1935 to 1945,1935 to 1940,1,36,28/02/1935,16,-0.093990883,0.117653939,-0.063828553,1.214645827,1.578484821,0.223276408
1935 to 1945,1935 to 1940,1,37,28/02/1935,17,-0.105714913,0.116736395,-0.063828553,1.135099668,1.455291845,0.184414471
1935 to 1945,1935 to 1940,1,38,28/02/1935,18,-0.151739856,0.194256812,-0.063828553,1.146461163,1.381405839,0.177417069
1935 to 1945,1935 to 1940,1,39,28/02/1935,19,-0.055864954,0.085415143,-0.063828553,1.025500506,1.12844951,0.176109923
1935 to 1945,1935 to 1940,1,40,28/02/1935,20,-0.158876288,0.12007032,-0.063828553,1.343840201,1.915783426,0.223397226
1935 to 1945,1935 to 1940,1,41,30/03/1935,1,-0.050724505,0.073295915,-0.081161913,0.737950015,0.630354477,0.16979421
1935 to 1945,1935 to 1940,1,42,30/03/1935,2,-0.043275297,0.040812433,-0.081161913,0.715856017,0.724825043,0.128576067
1935 to 1945,1935 to 1940,1,43,30/03/1935,3,-0.141956234,0.166361564,-0.081161913,0.874625733,0.89487497,0.133711171
1935 to 1945,1935 to 1940,1,44,30/03/1935,4,-0.105771408,0.065495163,-0.081161913,0.996654667,1.163579045,0.155999527
1935 to 1945,1935 to 1940,1,45,30/03/1935,5,-0.076009332,0.09500108,-0.081161913,0.8136505,0.770239755,0.160069704
1935 to 1945,1935 to 1940,1,46,30/03/1935,6,-0.137599437,0.11634497,-0.081161913,0.857487905,0.873558519,0.148908613
1935 to 1945,1935 to 1940,1,47,30/03/1935,7,-0.072665504,0.066671554,-0.081161913,0.991583008,1.151253928,0.147408456
1935 to 1945,1935 to 1940,1,48,30/03/1935,8,-0.099914752,0.156154737,-0.081161913,0.925838532,0.989020704,0.177673104
1935 to 1945,1935 to 1940,1,49,30/03/1935,9,-0.099587042,0.112805286,-0.081161913,1.043676748,1.224339031,0.163227283
1935 to 1945,1935 to 1940,1,50,30/03/1935,10,-0.051134943,0.094153089,-0.081161913,1.104412565,1.280015979,0.183315027
1935 to 1945,1935 to 1940,1,51,30/03/1935,11,-0.041892456,0.107022786,-0.081161913,1.103805376,1.345569139,0.185065012
1935 to 1945,1935 to 1940,1,52,30/03/1935,12,-0.085972372,0.088944019,-0.081161913,1.009761621,1.228900571,0.157704065
1935 to 1945,1935 to 1940,1,53,30/03/1935,13,-0.020887808,0.180156812,-0.081161913,0.974666722,1.077926147,0.184263372
1935 to 1945,1935 to 1940,1,54,30/03/1935,14,-0.0261328,0.160037399,-0.081161913,1.020749456,1.178763828,0.17117321
1935 to 1945,1935 to 1940,1,55,30/03/1935,15,-0.004648003,0.323488622,-0.081161913,1.068122829,1.371324038,0.177855435
1935 to 1945,1935 to 1940,1,56,30/03/1935,16,-0.11564277,0.137089794,-0.081161913,1.214645827,1.578484821,0.223276408
1935 to 1945,1935 to 1940,1,57,30/03/1935,17,-0.092745978,0.200450554,-0.081161913,1.135099668,1.455291845,0.184414471
1935 to 1945,1935 to 1940,1,58,30/03/1935,18,-0.089747241,0.203399251,-0.081161913,1.146461163,1.381405839,0.177417069
1935 to 1945,1935 to 1940,1,59,30/03/1935,19,-0.090385749,0.067071736,-0.081161913,1.025500506,1.12844951,0.176109923
1935 to 1945,1935 to 1940,1,60,30/03/1935,20,-0.136366121,0.1789049,-0.081161913,1.343840201,1.915783426,0.223397226
1935 to 1945,1935 to 1940,1,61,30/04/1935,1,0.149213517,0.256379597,0.101940054,0.737950015,0.630354477,0.16979421
1935 to 1945,1935 to 1940,1,62,30/04/1935,2,0.015511067,0.158827603,0.101940054,0.715856017,0.724825043,0.128576067
1935 to 1945,1935 to 1940,1,63,30/04/1935,3,0.095957083,0.09448549,0.101940054,0.874625733,0.89487497,0.133711171
1935 to 1945,1935 to 1940,1,64,30/04/1935,4,0.079166341,0.100236849,0.101940054,0.964786422,1.105663978,0.154632438
1935 to 1945,1935 to 1940,1,65,30/04/1935,5,0.044551132,0.148295608,0.101940054,0.8136505,0.770239755,0.160069704
1935 to 1945,1935 to 1940,1,66,30/04/1935,6,0.121186402,0.091044962,0.101940054,0.857487905,0.873558519,0.148908613
1935 to 1945,1935 to 1940,1,67,30/04/1935,7,0.093331607,0.085704747,0.101940054,0.991583008,1.151253928,0.147408456
1935 to 1945,1935 to 1940,1,68,30/04/1935,8,0.150408731,0.37396661,0.101940054,0.925838532,0.989020704,0.177673104
1935 to 1945,1935 to 1940,1,69,30/04/1935,9,0.132797733,0.172742165,0.101940054,1.043676748,1.224339031,0.163227283
1935 to 1945,1935 to 1940,1,70,30/04/1935,10,0.184233755,0.149275175,0.101940054,1.104412565,1.280015979,0.183315027
1935 to 1945,1935 to 1940,1,71,30/04/1935,11,0.087294275,0.131268014,0.101940054,1.103805376,1.345569139,0.185065012
1935 to 1945,1935 to 1940,1,72,30/04/1935,12,0.066282035,0.111192851,0.101940054,1.009761621,1.228900571,0.157704065
1935 to 1945,1935 to 1940,1,73,30/04/1935,13,0.054747886,0.080638698,0.101940054,0.974666722,1.077926147,0.184263372
1935 to 1945,1935 to 1940,1,74,30/04/1935,14,0.102999945,0.074601526,0.101940054,1.007332469,1.144119398,0.171410218
1935 to 1945,1935 to 1940,1,75,30/04/1935,15,0.114040542,0.105575648,0.101940054,1.068122829,1.371324038,0.177855435
1935 to 1945,1935 to 1940,1,76,30/04/1935,16,0.049724228,0.184331706,0.101940054,1.214645827,1.578484821,0.223276408
1935 to 1945,1935 to 1940,1,77,30/04/1935,17,0.201138735,0.465709968,0.101940054,1.135099668,1.455291845,0.184414471
1935 to 1945,1935 to 1940,1,78,30/04/1935,18,0.22901042,0.315604458,0.101940054,1.146461163,1.381405839,0.177417069
1935 to 1945,1935 to 1940,1,79,30/04/1935,19,0.13667533,0.131149563,0.101940054,1.025500506,1.12844951,0.176109923
1935 to 1945,1935 to 1940,1,80,30/04/1935,20,0.234507063,0.207674943,0.101940054,1.343840201,1.915783426,0.223397226
1935 to 1945,1935 to 1940,1,81,31/05/1935,1,0.019043564,0.060326561,0.02182061,0.737950015,0.630354477,0.16979421
1935 to 1945,1935 to 1940,1,82,31/05/1935,2,-0.007079969,0.08727722,0.02182061,0.715856017,0.724825043,0.128576067
1935 to 1945,1935 to 1940,1,83,31/05/1935,3,0.028042977,0.072400113,0.02182061,0.874625733,0.89487497,0.133711171
1935 to 1945,1935 to 1940,1,84,31/05/1935,4,0.087399803,0.169189381,0.02182061,0.964786422,1.105663978,0.154632438
1935 to 1945,1935 to 1940,1,85,31/05/1935,5,0.021057182,0.105605535,0.02182061,0.8136505,0.770239755,0.160069704
1935 to 1945,1935 to 1940,1,86,31/05/1935,6,-0.004885431,0.065716563,0.02182061,0.857487905,0.873558519,0.148908613
1935 to 1945,1935 to 1940,1,87,31/05/1935,7,-0.005118032,0.082365826,0.02182061,0.989390128,1.15883898,0.148412125
1935 to 1945,1935 to 1940,1,88,31/05/1935,8,-0.030889928,0.112761112,0.02182061,0.925838532,0.989020704,0.177673104
1935 to 1945,1935 to 1940,1,89,31/05/1935,9,0.000879423,0.097506475,0.02182061,1.043676748,1.224339031,0.163227283
1935 to 1945,1935 to 1940,1,90,31/05/1935,10,-0.016603457,0.093834143,0.02182061,1.104412565,1.280015979,0.183315027
1935 to 1945,1935 to 1940,1,91,31/05/1935,11,0.002717691,0.103592878,0.02182061,1.103805376,1.345569139,0.185065012
1935 to 1945,1935 to 1940,1,92,31/05/1935,12,0.061669358,0.10633836,0.02182061,1.009761621,1.228900571,0.157704065
1935 to 1945,1935 to 1940,1,93,31/05/1935,13,0.059127176,0.138093887,0.02182061,0.974666722,1.077926147,0.184263372
1935 to 1945,1935 to 1940,1,94,31/05/1935,14,0.041160923,0.15293995,0.02182061,1.007332469,1.144119398,0.171410218
1935 to 1945,1935 to 1940,1,95,31/05/1935,15,0.031383621,0.276607925,0.02182061,1.068122829,1.371324038,0.177855435
1935 to 1945,1935 to 1940,1,96,31/05/1935,16,-0.006250333,0.209356467,0.02182061,1.214645827,1.578484821,0.223276408
1935 to 1945,1935 to 1940,1,97,31/05/1935,17,-0.000937915,0.17499568,0.02182061,1.135099668,1.455291845,0.184414471
1935 to 1945,1935 to 1940,1,98,31/05/1935,18,0.033299308,0.17619671,0.02182061,1.146461163,1.381405839,0.177417069
1935 to 1945,1935 to 1940,1,99,31/05/1935,19,0.032786328,0.179561929,0.02182061,1.025500506,1.12844951,0.176109923
1935 to 1945,1935 to 1940,1,100,31/05/1935,20,-0.066093246,0.178395452,0.02182061,1.343840201,1.915783426,0.223397226
1935 to 1945,1935 to 1940,1,101,29/06/1935,1,0.020845442,0.059855831,0.037848503,0.737950015,0.630354477,0.16979421
1935 to 1945,1935 to 1940,1,102,29/06/1935,2,0.046746022,0.083518679,0.037848503,0.715856017,0.724825043,0.128576067
1935 to 1945,1935 to 1940,1,103,29/06/1935,3,0.042792509,0.082989044,0.037848503,0.874625733,0.89487497,0.133711171
1935 to 1945,1935 to 1940,1,104,29/06/1935,4,0.034473496,0.200867529,0.037848503,0.964786422,1.105663978,0.154632438
1935 to 1945,1935 to 1940,1,105,29/06/1935,5,-0.005921632,0.092695188,0.037848503,0.8136505,0.770239755,0.160069704
1935 to 1945,1935 to 1940,1,106,29/06/1935,6,0.055758035,0.130469681,0.037848503,0.857487905,0.873558519,0.148908613
1935 to 1945,1935 to 1940,1,107,29/06/1935,7,-0.003542967,0.089859909,0.037848503,0.991583008,1.151253928,0.147408456
1935 to 1945,1935 to 1940,1,108,29/06/1935,8,0.008971095,0.137486921,0.037848503,0.925838532,0.989020704,0.177673104
1935 to 1945,1935 to 1940,1,109,29/06/1935,9,0.011623276,0.102553685,0.037848503,1.043676748,1.224339031,0.163227283
1935 to 1945,1935 to 1940,1,110,29/06/1935,10,0.002868918,0.109927807,0.037848503,1.104412565,1.280015979,0.183315027
1935 to 1945,1935 to 1940,1,111,29/06/1935,11,0.051947363,0.101605288,0.037848503,1.103805376,1.345569139,0.185065012
1935 to 1945,1935 to 1940,1,112,29/06/1935,12,0.023977267,0.122768234,0.037848503,1.009761621,1.228900571,0.157704065
1935 to 1945,1935 to 1940,1,113,29/06/1935,13,0.056346859,0.083525788,0.037848503,0.974666722,1.077926147,0.184263372
1935 to 1945,1935 to 1940,1,114,29/06/1935,14,0.010774161,0.101889371,0.037848503,1.007332469,1.144119398,0.171410218
1935 to 1945,1935 to 1940,1,115,29/06/1935,15,0.025516006,0.242276642,0.037848503,1.068122829,1.371324038,0.177855435
1935 to 1945,1935 to 1940,1,116,29/06/1935,16,0.0688028,0.126304818,0.037848503,1.214645827,1.578484821,0.223276408
1935 to 1945,1935 to 1940,1,117,29/06/1935,17,0.07480582,0.287176312,0.037848503,1.135099668,1.455291845,0.184414471
1935 to 1945,1935 to 1940,1,118,29/06/1935,18,0.037784963,0.1308923,0.037848503,1.146461163,1.381405839,0.177417069
1935 to 1945,1935 to 1940,1,119,29/06/1935,19,-0.012637152,0.154947094,0.037848503,1.025500506,1.12844951,0.176109923
1935 to 1945,1935 to 1940,1,120,29/06/1935,20,0.003732111,0.116348229,0.037848503,1.343840201,1.915783426,0.223397226
1935 to 1945,1935 to 1940,1,121,31/07/1935,1,-0.011975757,0.208417893,0.111654736,0.737950015,0.630354477,0.16979421
1935 to 1945,1935 to 1940,1,122,31/07/1935,2,-0.000467696,0.134659824,0.111654736,0.752994292,0.779143274,0.135151641
1935 to 1945,1935 to 1940,1,123,31/07/1935,3,0.112939377,0.162228657,0.111654736,0.874625733,0.89487497,0.133711171
1935 to 1945,1935 to 1940,1,124,31/07/1935,4,0.134997893,0.199796062,0.111654736,0.964786422,1.105663978,0.154632438
1935 to 1945,1935 to 1940,1,125,31/07/1935,5,0.044715204,0.122835884,0.111654736,0.8136505,0.770239755,0.160069704
1935 to 1945,1935 to 1940,1,126,31/07/1935,6,0.096262839,0.139040976,0.111654736,0.857487905,0.873558519,0.148908613
1935 to 1945,1935 to 1940,1,127,31/07/1935,7,0.086806571,0.106844937,0.111654736,0.991583008,1.151253928,0.147408456
1935 to 1945,1935 to 1940,1,128,31/07/1935,8,0.073307475,0.240944067,0.111654736,0.881336756,0.888309481,0.171259233
1935 to 1945,1935 to 1940,1,129,31/07/1935,9,0.100357996,0.103578529,0.111654736,1.043676748,1.224339031,0.163227283
1935 to 1945,1935 to 1940,1,130,31/07/1935,10,0.073492188,0.152256573,0.111654736,1.104412565,1.280015979,0.183315027
1935 to 1945,1935 to 1940,1,131,31/07/1935,11,0.075540007,0.110643216,0.111654736,1.103805376,1.345569139,0.185065012
1935 to 1945,1935 to 1940,1,132,31/07/1935,12,0.150911265,0.19184684,0.111654736,1.009761621,1.228900571,0.157704065
1935 to 1945,1935 to 1940,1,133,31/07/1935,13,0.075948679,0.164270919,0.111654736,0.974666722,1.077926147,0.184263372
1935 to 1945,1935 to 1940,1,134,31/07/1935,14,0.167806447,0.286476268,0.111654736,1.007332469,1.144119398,0.171410218
1935 to 1945,1935 to 1940,1,135,31/07/1935,15,0.122276326,0.108230356,0.111654736,1.016136911,1.242862357,0.174947168
1935 to 1945,1935 to 1940,1,136,31/07/1935,16,0.102633934,0.115545701,0.111654736,1.214645827,1.578484821,0.223276408
1935 to 1945,1935 to 1940,1,137,31/07/1935,17,0.133069399,0.162514769,0.111654736,1.200684728,1.561098695,0.170509575
1935 to 1945,1935 to 1940,1,138,31/07/1935,18,0.233991781,0.322998293,0.111654736,1.146461163,1.381405839,0.177417069
1935 to 1945,1935 to 1940,1,139,31/07/1935,19,0.094385481,0.117897283,0.111654736,1.025500506,1.12844951,0.176109923
1935 to 1945,1935 to 1940,1,140,31/07/1935,20,0.241816224,0.238451102,0.111654736,1.343840201,1.915783426,0.223397226
1935 to 1945,1935 to 1940,1,141,31/08/1935,1,0.170205043,0.289394278,0.092291213,0.737950015,0.630354477,0.16979421
1935 to 1945,1935 to 1940,1,142,31/08/1935,2,0.102272674,0.169068454,0.092291213,0.715856017,0.724825043,0.128576067
1935 to 1945,1935 to 1940,1,143,31/08/1935,3,0.014373533,0.123048684,0.092291213,0.874625733,0.89487497,0.133711171
1935 to 1945,1935 to 1940,1,144,31/08/1935,4,0.043197172,0.149543494,0.092291213,0.964786422,1.105663978,0.154632438
1935 to 1945,1935 to 1940,1,145,31/08/1935,5,0.169648618,0.409055232,0.092291213,0.8136505,0.770239755,0.160069704
1935 to 1945,1935 to 1940,1,146,31/08/1935,6,0.062776069,0.12208914,0.092291213,0.857487905,0.873558519,0.148908613
1935 to 1945,1935 to 1940,1,147,31/08/1935,7,0.087297579,0.138902121,0.092291213,0.991583008,1.151253928,0.147408456
1935 to 1945,1935 to 1940,1,148,31/08/1935,8,0.032167291,0.097684722,0.092291213,0.881336756,0.888309481,0.171259233
1935 to 1945,1935 to 1940,1,149,31/08/1935,9,0.126540106,0.239144829,0.092291213,1.043676748,1.224339031,0.163227283
1935 to 1945,1935 to 1940,1,150,31/08/1935,10,0.108100513,0.173817126,0.092291213,1.104412565,1.280015979,0.183315027
1935 to 1945,1935 to 1940,1,151,31/08/1935,11,0.155697492,0.262639738,0.092291213,1.103805376,1.345569139,0.185065012
1935 to 1945,1935 to 1940,1,152,31/08/1935,12,0.016177809,0.076899153,0.092291213,1.009761621,1.228900571,0.157704065
1935 to 1945,1935 to 1940,1,153,31/08/1935,13,0.076177263,0.234479795,0.092291213,0.974666722,1.077926147,0.184263372
1935 to 1945,1935 to 1940,1,154,31/08/1935,14,0.084055203,0.208803996,0.092291213,1.007332469,1.144119398,0.171410218
1935 to 1945,1935 to 1940,1,155,31/08/1935,15,0.090861347,0.207024246,0.092291213,1.016136911,1.242862357,0.174947168
1935 to 1945,1935 to 1940,1,156,31/08/1935,16,0.156657549,0.196248699,0.092291213,1.210253387,1.573950629,0.225406384
1935 to 1945,1935 to 1940,1,157,31/08/1935,17,0.11560133,0.220684556,0.092291213,1.200684728,1.561098695,0.170509575
1935 to 1945,1935 to 1940,1,158,31/08/1935,18,0.165618837,0.168543472,0.092291213,1.146461163,1.381405839,0.177417069
1935 to 1945,1935 to 1940,1,159,31/08/1935,19,0.048629891,0.087591774,0.092291213,1.025500506,1.12844951,0.176109923
1935 to 1945,1935 to 1940,1,160,31/08/1935,20,-0.008724622,0.234044513,0.092291213,1.343840201,1.915783426,0.223397226
1935 to 1945,1935 to 1940,1,161,30/09/1935,1,-0.078786014,0.080542314,0.022083786,0.737950015,0.630354477,0.16979421
1935 to 1945,1935 to 1940,1,162,30/09/1935,2,0.025003295,0.110013445,0.022083786,0.715856017,0.724825043,0.128576067
1935 to 1945,1935 to 1940,1,163,30/09/1935,3,-0.017125724,0.078677527,0.022083786,0.874625733,0.89487497,0.133711171
1935 to 1945,1935 to 1940,1,164,30/09/1935,4,-0.005694132,0.136888104,0.022083786,0.964786422,1.105663978,0.154632438
1935 to 1945,1935 to 1940,1,165,30/09/1935,5,-0.060796462,0.111073619,0.022083786,0.8136505,0.770239755,0.160069704
1935 to 1945,1935 to 1940,1,166,30/09/1935,6,0.027141019,0.115407002,0.022083786,0.857487905,0.873558519,0.148908613
1935 to 1945,1935 to 1940,1,167,30/09/1935,7,0.002155529,0.091488971,0.022083786,0.991583008,1.151253928,0.147408456
1935 to 1945,1935 to 1940,1,168,30/09/1935,8,-0.012994232,0.070131889,0.022083786,0.881336756,0.888309481,0.171259233
1935 to 1945,1935 to 1940,1,169,30/09/1935,9,0.08047401,0.180426147,0.022083786,1.043676748,1.224339031,0.163227283
1935 to 1945,1935 to 1940,1,170,30/09/1935,10,-0.003709849,0.124066101,0.022083786,1.104412565,1.280015979,0.183315027
1935 to 1945,1935 to 1940,1,171,30/09/1935,11,0.00652176,0.13236152,0.022083786,1.103805376,1.345569139,0.185065012
1935 to 1945,1935 to 1940,1,172,30/09/1935,12,0.06375836,0.146442458,0.022083786,1.009761621,1.228900571,0.157704065
1935 to 1945,1935 to 1940,1,173,30/09/1935,13,0.04669056,0.114680383,0.022083786,0.974666722,1.077926147,0.184263372
1935 to 1945,1935 to 1940,1,174,30/09/1935,14,0.032832823,0.250275948,0.022083786,1.007332469,1.144119398,0.171410218
1935 to 1945,1935 to 1940,1,175,30/09/1935,15,0.019369957,0.114720508,0.022083786,1.016136911,1.242862357,0.174947168
1935 to 1945,1935 to 1940,1,176,30/09/1935,16,0.025234218,0.139830566,0.022083786,1.210253387,1.573950629,0.225406384
1935 to 1945,1935 to 1940,1,177,30/09/1935,17,0.004773305,0.166802319,0.022083786,1.200684728,1.561098695,0.170509575
1935 to 1945,1935 to 1940,1,178,30/09/1935,18,0.005410098,0.104812381,0.022083786,1.146461163,1.381405839,0.177417069
1935 to 1945,1935 to 1940,1,179,30/09/1935,19,0.026236156,0.092870037,0.022083786,1.025500506,1.12844951,0.176109923
1935 to 1945,1935 to 1940,1,180,30/09/1935,20,0.022251417,0.165761796,0.022083786,1.343840201,1.915783426,0.223397226
1935 to 1945,1935 to 1940,1,181,31/10/1935,1,0.061009472,0.087822982,0.081480146,0.737950015,0.630354477,0.16979421
1935 to 1945,1935 to 1940,1,182,31/10/1935,2,0.011105181,0.045568077,0.081480146,0.715856017,0.724825043,0.128576067
1935 to 1945,1935 to 1940,1,183,31/10/1935,3,0.063246841,0.168324448,0.081480146,0.874625733,0.89487497,0.133711171
1935 to 1945,1935 to 1940,1,184,31/10/1935,4,0.054292565,0.117072427,0.081480146,0.964786422,1.105663978,0.154632438
1935 to 1945,1935 to 1940,1,185,31/10/1935,5,0.029456791,0.173720451,0.081480146,0.8136505,0.770239755,0.160069704
1935 to 1945,1935 to 1940,1,186,31/10/1935,6,0.063386485,0.10292207,0.081480146,0.857487905,0.873558519,0.148908613
1935 to 1945,1935 to 1940,1,187,31/10/1935,7,0.030643632,0.144537054,0.081480146,0.991583008,1.151253928,0.147408456
1935 to 1945,1935 to 1940,1,188,31/10/1935,8,0.135708296,0.199184844,0.081480146,0.881336756,0.888309481,0.171259233
1935 to 1945,1935 to 1940,1,189,31/10/1935,9,0.010925671,0.161247482,0.081480146,1.043676748,1.224339031,0.163227283
1935 to 1945,1935 to 1940,1,190,31/10/1935,10,0.175500687,0.247494422,0.081480146,1.104412565,1.280015979,0.183315027
1935 to 1945,1935 to 1940,1,191,31/10/1935,11,0.091022382,0.094838873,0.081480146,1.103805376,1.345569139,0.185065012
1935 to 1945,1935 to 1940,1,192,31/10/1935,12,0.126148173,0.192262322,0.081480146,1.009761621,1.228900571,0.157704065
1935 to 1945,1935 to 1940,1,193,31/10/1935,13,0.109851703,0.115560601,0.081480146,0.974666722,1.077926147,0.184263372
1935 to 1945,1935 to 1940,1,194,31/10/1935,14,0.095728073,0.297805699,0.081480146,1.007332469,1.144119398,0.171410218
1935 to 1945,1935 to 1940,1,195,31/10/1935,15,0.137269591,0.177166731,0.081480146,1.016136911,1.242862357,0.174947168
1935 to 1945,1935 to 1940,1,196,31/10/1935,16,0.091103932,0.144969077,0.081480146,1.210253387,1.573950629,0.225406384
1935 to 1945,1935 to 1940,1,197,31/10/1935,17,0.110874541,0.166233066,0.081480146,1.200684728,1.561098695,0.170509575
1935 to 1945,1935 to 1940,1,198,31/10/1935,18,0.079583704,0.130594904,0.081480146,1.146461163,1.381405839,0.177417069
1935 to 1945,1935 to 1940,1,199,31/10/1935,19,0.047189504,0.113609315,0.081480146,1.025500506,1.12844951,0.176109923
1935 to 1945,1935 to 1940,1,200,31/10/1935,20,0.197647663,0.320971636,0.081480146,1.343840201,1.915783426,0.223397226
1935 to 1945,1935 to 1940,1,201,30/11/1935,1,0.110309512,0.154858155,0.161549045,0.737950015,0.630354477,0.16979421
1935 to 1945,1935 to 1940,1,202,30/11/1935,2,0.179745331,0.220815405,0.161549045,0.715856017,0.724825043,0.128576067
1935 to 1945,1935 to 1940,1,203,30/11/1935,3,0.18702322,0.189580861,0.161549045,0.884468873,0.920015588,0.13567312
1935 to 1945,1935 to 1940,1,204,30/11/1935,4,0.267369868,0.396923523,0.161549045,0.964786422,1.105663978,0.154632438
1935 to 1945,1935 to 1940,1,205,30/11/1935,5,0.072772237,0.137030268,0.161549045,0.8136505,0.770239755,0.160069704
1935 to 1945,1935 to 1940,1,206,30/11/1935,6,0.079155038,0.086878688,0.161549045,0.857487905,0.873558519,0.148908613
1935 to 1945,1935 to 1940,1,207,30/11/1935,7,0.263935776,0.306561222,0.161549045,0.991583008,1.151253928,0.147408456
1935 to 1945,1935 to 1940,1,208,30/11/1935,8,0.100119618,0.162398965,0.161549045,0.881336756,0.888309481,0.171259233
1935 to 1945,1935 to 1940,1,209,30/11/1935,9,0.310851974,0.537659748,0.161549045,1.043676748,1.224339031,0.163227283
1935 to 1945,1935 to 1940,1,210,30/11/1935,10,0.130345814,0.149231336,0.161549045,1.104412565,1.280015979,0.183315027
1935 to 1945,1935 to 1940,1,211,30/11/1935,11,0.13043573,0.118543101,0.161549045,1.103805376,1.345569139,0.185065012
